,,Date,Open*,High,Low,Close**,Volume,Market Cap
3,,"Feb 11, 2019",0.394401,0.397709,0.385392,0.387543,"42,564,090","90,305,435"
4,,"Feb 10, 2019",0.401922,0.403417,0.384797,0.394485,"28,637,585","91,923,197"
5,,"Feb 09, 2019",0.392631,0.409494,0.389169,0.401183,"26,019,876","93,483,888"
6,,"Feb 08, 2019",0.362866,0.394564,0.361442,0.392337,"27,742,617","91,422,641"
7,,"Feb 07, 2019",0.360196,0.366335,0.359571,0.362809,"15,868,243","84,541,961"
8,,"Feb 06, 2019",0.370694,0.370970,0.357940,0.360188,"17,511,235","83,931,101"
9,,"Feb 05, 2019",0.368394,0.369840,0.366388,0.369694,"14,065,331","86,146,182"
10,,"Feb 04, 2019",0.372759,0.372759,0.366512,0.369244,"10,736,709","86,041,454"
11,,"Feb 03, 2019",0.375507,0.377981,0.369985,0.371895,"17,925,924","86,659,197"
12,,"Feb 02, 2019",0.370039,0.379804,0.369440,0.376092,"39,687,288","87,637,222"
13,,"Feb 01, 2019",0.368018,0.373172,0.363257,0.370899,"71,765,778","86,427,076"
14,,"Jan 31, 2019",0.377953,0.381451,0.363570,0.367659,"62,461,599","85,672,071"
15,,"Jan 30, 2019",0.374918,0.381233,0.370745,0.377980,"84,138,678","88,077,155"
16,,"Jan 29, 2019",0.369319,0.383198,0.362948,0.375541,"62,094,866","87,508,717"
17,,"Jan 28, 2019",0.392386,0.392722,0.361341,0.369587,"60,940,837","86,121,272"
18,,"Jan 27, 2019",0.411947,0.413853,0.391045,0.391185,"76,689,186","91,154,066"
19,,"Jan 26, 2019",0.415926,0.421827,0.410163,0.411633,"54,837,127","95,918,853"
20,,"Jan 25, 2019",0.418073,0.424476,0.413098,0.415994,"64,919,307","96,935,154"
21,,"Jan 24, 2019",0.417152,0.420769,0.410654,0.416829,"60,809,257","97,129,684"
22,,"Jan 23, 2019",0.420919,0.426118,0.412966,0.417070,"51,995,113","97,185,944"
23,,"Jan 22, 2019",0.424923,0.425783,0.408122,0.420725,"51,303,720","98,037,545"
24,,"Jan 21, 2019",0.434111,0.437217,0.417128,0.424847,"7,674,517","98,998,064"
25,,"Jan 20, 2019",0.444067,0.452098,0.415988,0.434262,"8,083,421","101,192,015"
26,,"Jan 19, 2019",0.431896,0.475379,0.428054,0.444603,"10,108,552","103,601,548"
27,,"Jan 18, 2019",0.468675,0.469846,0.426915,0.432302,"12,268,097","100,735,275"
28,,"Jan 17, 2019",0.517428,0.517428,0.445030,0.468461,"22,254,984","109,161,092"
29,,"Jan 16, 2019",0.412844,0.529211,0.405087,0.525667,"55,679,154","122,491,252"
30,,"Jan 15, 2019",0.371026,0.427258,0.370630,0.414164,"67,551,410","96,508,663"
31,,"Jan 14, 2019",0.353239,0.374843,0.353162,0.371338,"67,080,809","86,529,455"
32,,"Jan 13, 2019",0.379154,0.379867,0.352077,0.353306,"54,349,657","82,327,433"
33,,"Jan 12, 2019",0.371904,0.391949,0.363413,0.379010,"60,552,521","88,317,123"
34,,"Jan 11, 2019",0.371203,0.376546,0.363946,0.371636,"4,084,194","86,598,901"
35,,"Jan 10, 2019",0.410962,0.461292,0.369076,0.371537,"19,333,183","86,575,783"
36,,"Jan 09, 2019",0.404070,0.410237,0.402064,0.409640,"3,401,006","95,454,405"
37,,"Jan 08, 2019",0.408065,0.417376,0.399010,0.403801,"2,996,784","94,093,914"
38,,"Jan 07, 2019",0.417676,0.426731,0.406313,0.407981,"4,202,976","95,067,820"
39,,"Jan 06, 2019",0.397072,0.434385,0.391357,0.416285,"12,818,145","97,002,893"
40,,"Jan 05, 2019",0.392065,0.400397,0.391055,0.396700,"2,993,270","92,439,187"
41,,"Jan 04, 2019",0.395995,0.400716,0.382962,0.391558,"3,146,472","91,240,942"
42,,"Jan 03, 2019",0.414765,0.416412,0.392525,0.395935,"3,012,462","92,261,027"
43,,"Jan 02, 2019",0.399829,0.419747,0.392183,0.414944,"4,224,764","96,690,484"
44,,"Jan 01, 2019",0.388596,0.400592,0.383888,0.400219,"2,777,715","93,259,302"
45,,"Dec 31, 2018",0.406841,0.407064,0.383176,0.388751,"3,100,314","90,586,907"
46,,"Dec 30, 2018",0.410419,0.411411,0.402540,0.406613,"3,221,237","94,749,244"
47,,"Dec 29, 2018",0.420616,0.425572,0.404397,0.408279,"4,159,618","95,137,263"
48,,"Dec 28, 2018",0.374885,0.422893,0.374591,0.418670,"4,346,004","97,558,653"
49,,"Dec 27, 2018",0.424673,0.425163,0.374489,0.376048,"4,233,601","87,626,898"
50,,"Dec 26, 2018",0.408910,0.433381,0.404512,0.425275,"5,204,535","99,097,828"
51,,"Dec 25, 2018",0.479729,0.479912,0.393172,0.408939,"6,471,993","95,291,222"
52,,"Dec 24, 2018",0.471798,0.517555,0.471798,0.481183,"8,186,822","112,125,494"
53,,"Dec 23, 2018",0.457661,0.485595,0.455796,0.470947,"6,609,651","109,740,239"
54,,"Dec 22, 2018",0.452586,0.462943,0.430627,0.457742,"5,544,372","106,663,203"
55,,"Dec 21, 2018",0.425025,0.504441,0.421439,0.453481,"11,029,777","105,670,274"
56,,"Dec 20, 2018",0.399000,0.433285,0.387245,0.424033,"6,037,660","98,808,461"
57,,"Dec 19, 2018",0.392661,0.438358,0.390750,0.399440,"7,179,593","93,077,689"
58,,"Dec 18, 2018",0.377414,0.391793,0.366910,0.389707,"4,969,505","90,809,670"
59,,"Dec 17, 2018",0.337930,0.388492,0.337581,0.377751,"4,450,855","88,023,735"
60,,"Dec 16, 2018",0.340690,0.349002,0.337312,0.337337,"3,325,681","78,606,529"
61,,"Dec 15, 2018",0.331504,0.348857,0.329788,0.340526,"4,019,638","79,349,440"
62,,"Dec 14, 2018",0.371043,0.375600,0.321717,0.330879,"4,764,991","77,101,467"
