,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
0,2014-04-01,468.48010552,491.2672728,468.48010552,479.02343370000006,62894.68306786,30128027.04467774,
1,2014-04-02,479.67961534,494.11133702,430.72590933,438.37782382,96314.58755168,42222179.29297322,-0.0848509843580123
2,2014-04-03,437.32208923,452.4414054,414.8111042,446.81975514,74292.74954889,33195468.16222008,0.019257204313935183
3,2014-04-04,448.59714408,457.3271717,429.18411709,451.64599241,39267.66734771,17735084.58897259,0.010801306823347234
4,2014-04-05,450.02779791,466.38546994,445.1077834,464.37932234,21574.14453682,10018586.62011181,0.028193164876886057
5,2014-04-06,465.88879927,472.36598631,450.59741307,462.21579903,16624.90199963,7684292.36151955,-0.00465895703343977
6,2014-04-07,462.12175864,465.23847591,443.34249981,448.45264584,28631.52628784,12839883.71817693,-0.02977646635810194
7,2014-04-08,446.73871546,463.62650629,444.7773765,452.47466362,18306.71112114,8283322.95653997,0.008968656595762292
8,2014-04-09,452.16979694,464.30514965,440.36643951,449.89217685,23268.96123972,10468523.62519942,-0.005707472655681833
9,2014-04-10,448.90053917,449.18903453,356.45547533,362.64713602,134882.3449919,48914696.11114684,-0.1939243341390412
10,2014-04-11,361.49387498,429.61364405,347.02732223,420.34919908,131394.41744535,55231538.13632628,0.15911352201280793
11,2014-04-12,420.62694652,443.30339692,414.86343465,420.52156271,39940.05212685,16795653.1350699,0.0004100486699565309
12,2014-04-13,420.92838535,432.49285026,393.16408992,413.60539791,47527.55520736,19657653.3832022,-0.016446635353082995
13,2014-04-14,414.33989727,470.6592307,406.39709638,458.22015327,94204.25765471,43166289.38142468,0.1078679233526545
14,2014-04-15,457.23403204,525.50803159,453.53754179,520.86876938,88758.50470496,46231533.1179888,0.13672165150947668
15,2014-04-16,520.16821054,546.60773263,493.95939242,527.85605542,88795.38783169,46871183.16011511,0.01341467649964323
