,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1777,2019-02-11,3688.16581195,3688.16581195,3643.486916,3643.486916,99465.50689874,362401272.97908926,-0.011795757603712877
1776,2019-02-10,3665.62010677,3686.97761018,3646.05522613,3686.97761018,90821.95907134,334858529.6087234,0.005949991517758546
1775,2019-02-09,3658.79714467,3677.29527796,3638.12642853,3665.16988048,90479.60631593,331623127.86642104,0.0018533377772744772
1774,2019-02-08,3386.89487741,3711.53144754,3374.43621204,3658.38964874,168313.32561833,615755728.1868932,0.0790101217365351
1773,2019-02-07,3404.40011578,3413.60142638,3385.03500583,3390.50540402,93880.48423869,318302289.14347214,-0.004366549699213572
1772,2019-02-06,3459.93528582,3460.88974341,3386.22500682,3405.37514383,115263.34402697,392514926.7440047,-0.015464410321437859
1771,2019-02-05,3453.25698855,3470.34147378,3430.93833487,3458.86444282,83517.74862857,288876571.07592344,0.0009640527576990633
1770,2019-02-04,3456.41022843,3474.54586206,3441.56470035,3455.53312658,102342.97781449,353649550.11058617,0.0008785825134276504
1769,2019-02-03,3508.98928114,3509.69791711,3434.52689454,3452.49982061,100398.69103427,346626462.78535783,-0.01540628477757888
1768,2019-02-02,3478.80204193,3506.52230177,3455.82029467,3506.52230177,96177.63839033,337249033.9471148,0.007883715277166248
1767,2019-02-01,3451.51132461,3492.93792403,3423.10011716,3479.09411435,117437.9148747,408577558.4424413,0.008047424962881244
1766,2019-01-31,3478.21678702,3498.94102036,3441.58830919,3451.31987662,129435.84921899,446724519.1565893,-0.008042396161068166
1765,2019-01-30,3440.58593831,3494.37289885,3424.44190254,3479.30180006,121652.46188421,423265629.6149512,0.011423173766130112
1764,2019-01-29,3462.81259094,3469.92637211,3397.38841855,3440.00601361,121056.59129776,416435402.0519055,-0.00672256484935907
1763,2019-01-28,3578.24714105,3580.78103017,3431.13583203,3463.28819308,155871.02330912,539826274.6702559,-0.03306044943261477
1762,2019-01-27,3596.29216272,3602.65740208,3559.56500336,3581.70083233,101645.33604543,364063184.71638036,-0.0044410270483202785
1761,2019-01-26,3599.83149304,3661.99879192,3584.96314305,3597.67821861,105645.23230471,380077551.1629248,-0.00018292405693820515
1760,2019-01-25,3605.8379050999997,3611.73124288,3570.82251287,3598.33644091,106785.3218527,384249514.9770531,-0.0011187778918154698
1759,2019-01-24,3579.82790855,3617.07251737,3561.38907491,3602.36668912,103841.39585910001,374074785.3941332,0.0063109910618104345
1758,2019-01-23,3602.76105099,3620.98268841,3556.03771745,3579.77476259,151690.42595484,543017558.5592449,-0.006459937466237964
1757,2019-01-22,3569.36260446,3621.09574434,3529.36516732,3603.05024184,126566.01445965,456023709.0070905,0.008943647111070874
1756,2019-01-21,3601.21850749,3609.37437372,3551.78635253,3571.11148096,115548.59582145,412636917.14713866,-0.008786906490168667
1755,2019-01-20,3720.54676791,3740.8842196,3585.75350194,3602.76867239,126986.75617241,457503906.9468117,-0.03346876578088232
1754,2019-01-19,3648.61189053,3750.12331399,3645.19532725,3727.52431048,98647.4247251,367710673.82867694,0.0215333384797296
1753,2019-01-18,3674.68503452,3677.83617325,3630.97709295,3648.95023008,96560.00714865,352342660.30147403,-0.006590862369367567
1752,2019-01-17,3647.69163974,3676.80182212,3614.30543716,3673.15951893,106106.96883352,389747822.5957018,0.006095203127385096
1751,2019-01-16,3630.42403961,3683.66494738,3622.86811828,3650.9065022,114245.70553395,417100389.1827558,0.005687378700597101
1750,2019-01-15,3698.9118563,3712.88230124,3617.99853676,3630.25983971,116533.44961032,423046702.102772,-0.018734678609366173
1749,2019-01-14,3545.43694947,3725.07226457,3540.20559209,3699.57009646,129169.62325883,477872075.5790142,0.046024115270183685
1748,2019-01-13,3651.40536598,3676.45059476,3531.56951589,3536.79235732,101999.85084256,360752292.90736264,-0.03181715280245856
1747,2019-01-12,3669.5542549999996,3678.29840125,3633.31305695,3653.02108745,94188.97326960001,344074305.55910563,-0.0033137349024825453
1746,2019-01-11,3661.7090338,3705.22605006,3637.3699198,3665.16647753,128256.86981379,470082779.75451416,0.0006080526177467682
1745,2019-01-10,4037.29693588,4065.74661708,3642.15004614,3662.93921775,186440.33029586,682919597.6111227,-0.09278773135862196
1744,2019-01-09,4030.21420118,4067.88178689,4019.70758556,4037.57681015,118477.75311148,478363028.48109347,0.002822242013076348
1743,2019-01-08,4031.73734533,4114.12683774,4000.65411773,4026.21386024,134808.87691564,542769368.7212137,-0.0005945865808382188
1742,2019-01-07,4078.97114692,4098.71430528,4014.25106302,4028.60921722,121558.25865653,489710721.25258136,-0.013025472146620977
1741,2019-01-06,3847.22346618,4091.73905014,3829.71775823,4081.77628047,125183.18966728,510969774.29741365,0.060600871290672924
1740,2019-01-05,3855.51835898,3900.03798038,3836.37011954,3848.55075171,95910.74098182,369117354.3026538,-0.0028951520835391875
1739,2019-01-04,3849.67483713,3885.02212796,3787.05350324,3859.72524329,101914.70264534,393362750.46268135,0.002102026757063946
1738,2019-01-03,3944.55851833,3947.7258524000003,3837.2825836999996,3851.62901604,103370.60531217,398145222.82558084,-0.02491328887106325
1737,2019-01-02,3857.6006578,3959.39944937,3824.01235223,3950.03743983,109604.84803076,432943253.3086332,0.022565251683978268
1736,2019-01-01,3750.20584555,3863.96690671,3718.5782379,3862.87078827,96375.76131757,372287113.0913003,0.029534485616735218
1735,2018-12-31,3878.48771084,3879.38558147,3736.59020197,3752.05575164,118617.5173072,445059538.0575664,-0.032293026043209605
1734,2018-12-30,3839.88401006,3921.03156107,3812.08348044,3877.26435028,104388.45257858,404741625.7642319,0.008526641821783087
1733,2018-12-29,3943.96845455,3979.07660919,3844.48381381,3844.48381381,84717.6874421,325695778.11496776,-0.02319207039121851
1732,2018-12-28,3656.55768113,3960.07400585,3648.16209914,3935.76228988,131921.59866633,519212053.2513532,0.07661378934335272
