,Date,BTC Closing Price,ETH Closing Price,XRP Closing Price,DOGE Closing Price,VET Closing Price,TUSD Closing Price,XVG Closing Price,AE Closing Price,STRAT Closing Price,LRC Closing Price,AOA Closing Price,QNT Closing Price,WAN Closing Price,ELA Closing Price,KCS Closing Price
0,2019-02-11,3643.486916,121.15920985,0.30429998,0.00197246,0.003909,1.01,0.005994,0.38754299999999997,0.8206620000000001,0.053827,0.007514,3.99,0.293568,2.25,0.360186
1,2019-02-10,3686.97761018,124.95022877,0.30891225,0.00198858,0.004044,1.02,0.006171,0.394485,0.8180069999999999,0.055287,0.00718,4.64,0.291913,2.36,0.370683
2,2019-02-09,3665.16988048,119.77626979999998,0.31064594,0.00200946,0.004006,1.01,0.00613,0.401183,0.803968,0.05455,0.008425,4.24,0.289930,2.28,0.373724
3,2019-02-08,3658.38964874,119.65378821,0.31202863,0.0019691,0.003966,1.01,0.006052,0.392337,0.817695,0.055105999999999995,0.00807,4.14,0.292698,2.3,0.368694
4,2019-02-07,3390.50540402,104.17348494,0.29164441,0.00193144,0.003694,1.01,0.005644,0.362809,0.751636,0.051812000000000004,0.007548,2.95,0.272198,2.11,0.348911
5,2019-02-06,3405.37514383,104.5380112,0.28954575,0.00185799,0.003637,1.01,0.005606,0.360188,0.738042,0.051325,0.007884,2.35,0.282607,2.1,0.350898
6,2019-02-05,3458.86444282,106.99904403,0.29159797,0.00197848,0.003786,1.01,0.005745,0.369694,0.768977,0.053886,0.008664,2.29,0.262837,2.13,0.35403
7,2019-02-04,3455.53312658,107.09979467,0.29912812,0.00201472,0.003827,1.01,0.00588,0.369244,0.7837069999999999,0.05513,0.006343,2.18,0.272426,2.12,0.361609
8,2019-02-03,3452.49982061,107.1319149,0.30188809,0.00201145,0.003864,1.01,0.005829,0.371895,0.788343,0.056396,0.0066099999999999996,2.15,0.271510,2.12,0.359981
9,2019-02-02,3506.52230177,110.10746114,0.31151935,0.00195616,0.003952,1.01,0.0060420000000000005,0.376092,0.831415,0.056983000000000006,0.008287000000000001,2.23,0.275765,2.19,0.372291
10,2019-02-01,3479.09411435,107.32443764,0.3071589,0.00197078,0.003928,1.02,0.005964,0.370899,0.778469,0.057745000000000005,0.008015000000000001,2.33,0.276280,2.14,0.36295700000000003
11,2019-01-31,3451.31987662,106.82052064,0.31010164,0.00201663,0.003909,1.01,0.0059310000000000005,0.367659,0.7631,0.055044,0.007631000000000001,2.29,0.275208,2.13,0.35254
12,2019-01-30,3479.30180006,108.13054715,0.3213001,0.00205558,0.004038,1.01,0.006195,0.37798000000000004,0.838564,0.059410000000000004,0.007691,2.13,0.289559,2.16,0.368598
13,2019-01-29,3440.00601361,104.841018,0.28827669,0.00198649,0.003906,1.01,0.006062,0.37554099999999996,0.812519,0.059766,0.007576,2.06,0.287700,2.14,0.358214
14,2019-01-28,3463.28819308,107.19697922,0.29423212,0.00208414,0.003934,1.01,0.0060880000000000005,0.369587,0.836731,0.059489999999999994,0.007675,1.86,0.294712,2.15,0.37440999999999997
15,2019-01-27,3581.70083233,113.2767771,0.3122598,0.00213546,0.004165,1.01,0.006444,0.391185,0.907591,0.068405,0.008737,1.96,0.315689,2.3,0.404543
16,2019-01-26,3597.67821861,116.21246185,0.31680449,0.00218117,0.004377,1.01,0.006626999999999999,0.41163299999999997,0.964933,0.072996,0.0072829999999999995,1.73,0.339270,2.3,0.408005
17,2019-01-25,3598.33644091,115.99339673,0.31721188,0.00218958,0.004347,1.01,0.006657,0.415994,0.972724,0.07715,0.007449,1.72,0.322996,2.35,0.40735
18,2019-01-24,3602.36668912,117.28262058,0.31596063,0.00218149,0.004410,1.01,0.006735,0.416829,0.986099,0.080563,0.00807,1.79,0.327835,2.23,0.406632
19,2019-01-23,3579.77476259,117.42125168,0.31675758,0.00219915,0.004391,1.01,0.006732999999999999,0.41707,1.01,0.08566900000000001,0.008712000000000001,1.89,0.319276,2.18,0.42856400000000006
20,2019-01-22,3603.05024184,118.67517241,0.31962873,0.00220622,0.004568,1.01,0.0067079999999999996,0.420725,1.0,0.103905,0.00913,1.91,0.334467,2.2,0.436621
21,2019-01-21,3571.11148096,116.68971772,0.32048076,0.00220798,0.004130,1.01,0.006626000000000001,0.42484700000000003,0.974891,0.06915700000000001,0.009903,1.94,0.319311,2.17,0.449035
22,2019-01-20,3602.76867239,119.02533876,0.32177611,0.00217897,0.004012,1.02,0.006608,0.434262,0.99119,0.06801900000000001,0.010556999999999999,1.93,0.313367,2.13,0.447578
23,2019-01-19,3727.52431048,124.41890006,0.33303174,0.00225641,0.004138,1.01,0.006942,0.44460299999999997,1.04,0.069249,0.011201000000000001,1.99,0.344229,2.22,0.46719700000000003
24,2019-01-18,3648.95023008,120.25901312,0.32328355,0.00222259,0.004076,1.01,0.006684999999999999,0.432302,0.992851,0.062944,0.009825,1.89,0.327014,2.21,0.463037
25,2019-01-17,3673.15951893,123.55476798,0.32894033,0.00212943,0.004262,1.01,0.0068319999999999995,0.46846099999999996,1.07,0.058102999999999995,0.00995,1.97,0.335115,2.26,0.47031999999999996
26,2019-01-16,3650.9065022,123.23169205,0.32720877,0.00227633,0.003994,1.01,0.0069,0.525667,1.12,0.049242,0.011003,1.93,0.315723,2.29,0.48190600000000006
27,2019-01-15,3630.25983971,121.58630939,0.32694463,0.00216447,0.003929,1.01,0.006817,0.41416400000000003,1.02,0.041333,0.010843,2.07,0.293815,2.22,0.493771
