,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD)
0,2015-08-08,3.0,3.0,0.15,1.19999,1942.88814725,2331.44634782
1,2015-08-09,1.19999,1.19999,1.19999,1.19999,0.0,0.0
2,2015-08-10,1.19999,1.19999,1.19999,1.19999,0.0,0.0
3,2015-08-11,1.19999,1.19999,0.6503800000000001,0.99,9234.5687048,9142.22301775
4,2015-08-12,0.99,1.288,0.905,1.288,1736.1149829999997,2236.1160981
5,2015-08-13,1.288,1.8848,1.2628,1.8848,2815.45076228,5306.56159675
6,2015-08-14,1.8848,2.1,1.79489,1.79489,5775.80909876,10366.94199327
7,2015-08-15,1.79489,1.79489,1.5,1.79,8677.60963691,15532.92125007
8,2015-08-16,1.79,1.79,0.5,1.5039799999999999,9756.15097222,14673.055939200001
9,2015-08-17,1.5893,1.5893,1.25024913,1.2963799999999999,4057.58358692,5260.17021041
10,2015-08-18,1.2963799999999999,1.36139435,0.99017569,0.99017569,3988.94223616,3949.75363421
11,2015-08-19,1.1000886,1.26221587,1.10008757,1.25521788,3205.54776435,4023.66086776
12,2015-08-20,1.25604422,1.49089755,1.25604422,1.49089755,1087.61799851,1621.52700547
13,2015-08-21,1.49089755,1.5323851000000002,1.43588215,1.44911801,7130.78621215,10333.35069313
14,2015-08-22,1.44911801,1.49752366,1.39951617,1.4046477,286.79992363,402.85285434
15,2015-08-23,1.4046477,1.53409207,1.34006701,1.47590112,322.46067415,475.92007067
16,2015-08-24,1.47590112,1.59174673,1.23786985,1.23786985,4993.77034996,6181.63773252
17,2015-08-25,1.23786985,1.27668966,1.22017606,1.25304792,1301.12019708,1630.36595447
18,2015-08-26,1.25304792,1.25304792,1.1002584999999998,1.17433209,2296.11244285,2696.39851594
19,2015-08-27,1.17433209,1.18789241,1.13646,1.13646,230.29495247,261.72100168
20,2015-08-28,1.13646,1.3,1.13646,1.295,20766.09278881,26892.09016151
21,2015-08-29,1.295,1.295,1.153,1.1795,329.63902475,388.80922969
22,2015-08-30,1.1795,1.34925604,1.1718899999999999,1.31911724,7060.378457899999,9313.46693683
23,2015-08-31,1.31911724,1.32359132,0.91643593,1.3099408000000001,3020.39131857,3956.53383368
24,2015-09-01,1.3099408000000001,1.38030104,1.30664024,1.36,921.59244968,1253.36573156
25,2015-09-02,1.36,1.37320992,1.14492562,1.2804287,369.78924284,473.48876032
26,2015-09-03,1.3240953000000002,1.32725576,1.23414658,1.23415315,2650.10062713,3270.63004451
27,2015-09-04,1.23415983,1.40002305,1.23415983,1.34999257,3.25005764,4.38755367
28,2015-09-05,1.34999257,1.36999139,1.29708967,1.36999123,7841.38565566,10742.62954766
29,2015-09-06,1.36999123,1.38912266,1.3357033999999999,1.34672824,401.53747396,540.76185712
30,2015-09-07,1.34672824,1.34672824,1.25863669,1.26020403,198.84628715,250.58689247
31,2015-09-08,1.26020403,1.26349,1.25120753,1.26349,82.2295,103.89615096
32,2015-09-09,1.26349,1.41222432,1.24970804,1.41222432,119.34273102,168.53870658
33,2015-09-10,1.41222432,1.41222432,1.12908561,1.17979866,671.41931256,792.13960261
34,2015-09-11,1.17979866,1.17979866,0.94811305,0.94811305,2311.72972323,2191.78110711
35,2015-09-12,0.94811305,1.23010407,0.9479135000000001,1.10772706,541.17732167,599.47676604
36,2015-09-13,1.10772706,1.10772706,0.89129495,0.89305751,4119.1248763,3678.61538882
37,2015-09-14,0.89305751,0.96423704,0.89305751,0.9609915000000001,1143.92500475,1099.30221085
38,2015-09-15,0.9609915000000001,0.99798355,0.84620547,0.9529032,2831.53421694,2698.17802424
39,2015-09-16,0.9529032,0.97452408,0.9466315999999999,0.97452408,315.34260039,307.30895646
40,2015-09-17,0.97452408,0.98512749,0.83896836,0.98421102,136.98790511,134.82500644
41,2015-09-18,0.98421102,0.98421102,0.85388822,0.85389453,810.85407866,692.38385847
42,2015-09-19,0.85389453,0.89987681,0.83724169,0.89987681,306.62068714,275.9208455
43,2015-09-20,0.89987681,0.94732705,0.89828112,0.94732705,57.74739918,54.70567353
44,2015-09-21,0.94732705,1.00004112,0.94340037,1.00004112,1.00040905,1.00045018
45,2015-09-22,1.00004112,1.0000822,0.84079215,0.84079215,4.87714952,4.10066902
