,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1283,2019-02-11,124.67381614,124.67381614,119.97610269,121.15920985,1746658.57077682,211623772.31993797,-0.030340231925291224
1282,2019-02-10,119.66138766,124.95022877,117.33600513,124.95022877,1674504.37303571,209229704.4938864,0.04319686177102855
1281,2019-02-09,119.45569545,121.00843538,118.26111578,119.77626979999998,1586930.64509377,190076633.10313472,0.0010236331990176595
1280,2019-02-08,104.18141124,122.19680792,103.57722684,119.65378821,2491042.60646852,298062684.4671024,0.14860118463845273
1279,2019-02-07,104.48375046,105.71004544,104.05922846,104.17348494,1221558.45608311,127254001.4329949,-0.00348702118794475
1278,2019-02-06,106.94901819,107.02313687,102.07227621,104.53801120000001,1639875.28289182,171429300.68239784,-0.023000512315885516
1277,2019-02-05,107.09569183,107.30554469,106.2509777,106.99904403,1199194.67857635,128312684.21668953,-0.0009407173964286477
1276,2019-02-04,107.25147859,108.51445104,106.69558307,107.09979467,1356450.06441049,145275523.38034192,-0.00029981943317247683
1275,2019-02-03,110.08812093,110.50545532,106.28909004,107.1319149,1446583.32975499,154975242.17850178,-0.027024020072687338
1274,2019-02-02,107.05778836,110.10746114,106.26033887,110.10746114,1371892.6939026,151055621.48347872,0.025930939506388476
1273,2019-02-01,106.90624475,108.24744276,104.54128238,107.32443764,1525289.48798362,163700836.53173015,0.004717417561540094
1272,2019-01-31,108.02242212,109.79239056,106.15922648,106.82052064,1623053.33768445,173375402.55318838,-0.012115230566462576
1271,2019-01-30,104.81530087,108.32880859999999,104.06136614,108.13054715,2120224.71668651,229261058.6968208,0.0313763564371341
1270,2019-01-29,107.30627182,107.53830961,104.65562591,104.841018,2213999.0517611,232117914.43921968,-0.021977869499147595
1269,2019-01-28,113.06263303,113.49137139,103.89943695,107.19697922,2149611.11331139,230431817.84953043,-0.053672059142650164
1268,2019-01-27,116.23534386,116.4560551,113.27677709999999,113.27677709999999,1608441.16303296,182199031.0993868,-0.025261359266179232
1267,2019-01-26,115.88909808,117.48829138,115.75490571,116.21246185,1383993.2232906,160837259.6679122,0.001888599921855194
1266,2019-01-25,117.34305812,117.63992038,115.56200295,115.99339673,1573729.08121654,182542181.67088863,-0.010992454326347543
1265,2019-01-24,117.57290044,118.00654404,115.35522934,117.28262058,1500860.28915001,176024827.83318067,-0.001180630405625327
1264,2019-01-23,118.65566942,119.64309879,116.75485027,117.42125168,1285740.94034623,150973310.5548673,-0.010565990379756474
1263,2019-01-22,116.92159602,119.63507887,113.99725963,118.67517241,1705417.58935726,202390726.44545585,0.017014821260979973
1262,2019-01-21,119.0658112,119.1825423,115.32974518,116.68971772,1514263.22761167,176698948.58601293,-0.019622889246377118
