,Unnamed: 0,Date,Open*,High,Low,Close**,Volume,Market Cap,Close Percent Change
1,1,"Feb 11, 2019",0.372457,0.372965,0.35738600000000004,0.360186,"74,144","32,395,108",0.033864541832669286
2,2,"Feb 10, 2019",0.373908,0.376798,0.366396,0.370683,"113,364","33,339,198",0.02914327597407995
3,3,"Feb 09, 2019",0.367814,0.376134,0.364795,0.373724,"77,250","33,612,734",0.008203775193359242
4,4,"Feb 08, 2019",0.349097,0.370431,0.34134000000000003,0.368694,"136,393","33,160,299",-0.01345913026725598
5,5,"Feb 07, 2019",0.353000,0.354022,0.344373,0.348911,"31,603","31,380,985",-0.053656962142047286
6,6,"Feb 06, 2019",0.356010,0.35601,0.338079,0.350898,"71,676","31,559,742",0.005694862013521984
7,7,"Feb 05, 2019",0.360796,0.364649,0.35286300000000004,0.354030,"49,319","31,841,459",0.008925670707727207
8,8,"Feb 04, 2019",0.361092,0.367101,0.357393,0.361609,"31,541","32,523,110",0.021407790300256968
9,9,"Feb 03, 2019",0.372023,0.37885,0.355133,0.359981,"56,357","32,376,644",-0.004502100334892178
10,10,"Feb 02, 2019",0.361029,0.375842,0.355059,0.372291,"63,367","33,483,793",0.034196249246488016
11,11,"Feb 01, 2019",0.352694,0.368452,0.339007,0.362957,"34,934","32,644,288",-0.02507178524326392
12,12,"Jan 31, 2019",0.368532,0.369279,0.336504,0.352540,"103,394","31,707,452",-0.02870036946525345
13,13,"Jan 30, 2019",0.358240,0.368598,0.35499,0.368598,"51,173","33,224,767",0.04554944119816184
14,14,"Jan 29, 2019",0.374571,0.375022,0.344504,0.358214,"93,466","32,288,742",-0.028171612434142342
15,15,"Jan 28, 2019",0.405098,0.408573,0.363836,0.374410,"99,836","33,748,632",0.045213196580814685
16,16,"Jan 27, 2019",0.408208,0.409205,0.399882,0.404543,"46,063","36,464,763",0.08048129056382057
17,17,"Jan 26, 2019",0.407338,0.414255,0.401621,0.408005,"31,656","36,776,846",0.00855780473274792
18,18,"Jan 25, 2019",0.407413,0.409632,0.400305,0.407350,"50,122","36,717,814",-0.0016053724831803786
19,19,"Jan 24, 2019",0.428618,0.429383,0.395202,0.406632,"118,593","36,653,038",-0.0017626120044188511
20,20,"Jan 23, 2019",0.436734,0.442948,0.425331,0.428564,"52,092","38,629,957",0.053935745342226005
21,21,"Jan 22, 2019",0.448843,0.448998,0.419203,0.436621,"92,329","39,356,224",0.01879999253320364
22,22,"Jan 21, 2019",0.447372,0.463316,0.4359560000000001,0.449035,"75,784","40,475,148",0.028431981054507283
23,23,"Jan 20, 2019",0.467006,0.468877,0.445638,0.447578,"61,563","40,343,850",-0.0032447359337246517
24,24,"Jan 19, 2019",0.459424,0.469725,0.459424,0.467197,"46,949","42,112,316",0.043833700494662516
25,25,"Jan 18, 2019",0.470219,0.473312,0.452711,0.463037,"117,172","41,737,339",-0.008904166764769572
26,26,"Jan 17, 2019",0.481649,0.48236,0.458863,0.470320,"86,988","42,393,792",0.015728764655956295
27,27,"Jan 16, 2019",0.493610,0.4936100000000001,0.474904,0.481906,"83,633","43,438,073",0.024634291546181464
28,28,"Jan 15, 2019",0.507226,0.509616,0.491796,0.493771,"58,750","44,507,579",0.02462098417533709
29,29,"Jan 14, 2019",0.496145,0.507721,0.482036,0.507212,"76,022","45,719,132",0.02722112072195415
30,30,"Jan 13, 2019",0.508735,0.513273,0.491702,0.497655,"51,508","44,857,685",-0.018842219821297523
31,31,"Jan 12, 2019",0.506728,0.51203,0.5017159999999999,0.509145,"40,866","45,893,409",0.023088284052204644
