,Date,Open*,High,Low,Close**,Volume,Market Cap,Close Percent Change
3,"Feb 11, 2019",0.055186,0.055490,0.053467,0.053827,"990,393","42,468,467",0.0010042214494263568
4,"Feb 10, 2019",0.054593,0.055479,0.052695,0.055287,"1,016,308","43,620,761",0.02712393408512459
5,"Feb 09, 2019",0.055369,0.055817,0.053497,0.054550,"891,573","43,039,378",-0.013330439343787859
6,"Feb 08, 2019",0.051758,0.056250,0.051421,0.055106,"959,711","43,478,079",0.010192483959669874
7,"Feb 07, 2019",0.051393,0.053210,0.051219,0.051812,"594,906","40,878,705",-0.05977570500489948
8,"Feb 06, 2019",0.053982,0.054017,0.050852,0.051325,"859,487","40,494,690",-0.009399366942021148
9,"Feb 05, 2019",0.054999,0.055202,0.053696,0.053886,"610,118","42,515,506",0.049897710667316186
10,"Feb 04, 2019",0.056346,0.056429,0.054930,0.055130,"823,650","43,496,938",0.023085773670340926
11,"Feb 03, 2019",0.056893,0.058822,0.056048,0.056396,"1,068,557","44,495,852",0.02296390350081623
12,"Feb 02, 2019",0.057263,0.058469,0.055220,0.056983,"936,028","44,958,410",0.010408539612738466
13,"Feb 01, 2019",0.055043,0.061340,0.052931,0.057745,"1,566,584","45,560,253",0.013372409315058897
14,"Jan 31, 2019",0.059428,0.060096,0.054221,0.055044,"892,443","43,428,748",-0.046774612520564585
15,"Jan 30, 2019",0.059878,0.059993,0.058224,0.059410,"1,173,718","46,873,225",0.0793183634910255
16,"Jan 29, 2019",0.059692,0.064780,0.057215,0.059766,"2,490,158","47,154,753",0.005992257195758244
17,"Jan 28, 2019",0.068368,0.068368,0.056217,0.059490,"2,147,431","46,937,009",-0.004618010239935799
18,"Jan 27, 2019",0.073047,0.073219,0.066020,0.068405,"2,401,757","53,970,633",0.14985711884350317
19,"Jan 26, 2019",0.077084,0.078334,0.072375,0.072996,"1,505,266","57,592,842",0.06711497697536739
20,"Jan 25, 2019",0.080313,0.083518,0.076058,0.077150,"2,167,065","60,870,401",0.056907227793303594
21,"Jan 24, 2019",0.086003,0.086165,0.079170,0.080563,"2,839,466","63,562,987",0.04423849643551514
22,"Jan 23, 2019",0.104890,0.104890,0.084042,0.085669,"7,027,299","67,591,399",0.06337897049514063
23,"Jan 22, 2019",0.068994,0.107928,0.065992,0.103905,"33,074,631","81,979,754",0.21286579742964173
24,"Jan 21, 2019",0.068216,0.072558,0.066157,0.069157,"9,888,851","54,564,018",-0.33442086521341596
25,"Jan 20, 2019",0.068865,0.070114,0.061262,0.068019,"4,407,828","53,665,825",-0.016455311826713115
26,"Jan 19, 2019",0.063497,0.073335,0.063251,0.069249,"10,300,895","54,636,670",0.018083182640144635
27,"Jan 18, 2019",0.059113,0.066456,0.052235,0.062944,"8,967,225","49,661,755",-0.09104824618406049
28,"Jan 17, 2019",0.049469,0.063104,0.049469,0.058103,"10,473,230","45,842,092",-0.07690963396034578
29,"Jan 16, 2019",0.041269,0.050413,0.041217,0.049242,"3,511,774","38,851,512",-0.15250503416346828
30,"Jan 15, 2019",0.041363,0.044794,0.040501,0.041333,"1,481,439","32,611,072",-0.16061492222086837
31,"Jan 14, 2019",0.038543,0.041758,0.038506,0.041287,"344,252","32,574,893",-0.0011129122009049253
32,"Jan 13, 2019",0.040077,0.041253,0.038249,0.038527,"317,106","30,397,289",-0.06684912926587061
33,"Jan 12, 2019",0.040941,0.042896,0.039996,0.040268,"565,116","31,770,731",0.04518908817193146
34,"Jan 11, 2019",0.039155,0.041781,0.039128,0.040863,"298,674","32,239,989",0.014776000794675559
35,"Jan 10, 2019",0.044638,0.045440,0.038997,0.039251,"564,033","30,968,392",-0.03944889019406295
36,"Jan 09, 2019",0.043959,0.046811,0.043865,0.044640,"918,813","35,220,276",0.13729586507350122
37,"Jan 08, 2019",0.047854,0.047854,0.043370,0.043762,"1,531,854","34,527,286",-0.01966845878136192
38,"Jan 07, 2019",0.044553,0.048073,0.042557,0.047345,"983,396","37,354,401",0.08187468580046597
39,"Jan 06, 2019",0.043118,0.045226,0.042153,0.044521,"317,510","35,126,097",-0.059647270039074884
40,"Jan 05, 2019",0.041565,0.045539,0.041555,0.043327,"663,487","34,184,075",-0.026818804609060942
41,"Jan 04, 2019",0.041396,0.042064,0.040237,0.041609,"247,701","32,828,804",-0.039651949131026765
42,"Jan 03, 2019",0.042887,0.043427,0.040949,0.041366,"267,871","32,636,907",-0.005840082674421376
43,"Jan 02, 2019",0.042309,0.045855,0.042131,0.042844,"868,339","33,803,204",0.03572982642750078
44,"Jan 01, 2019",0.039972,0.042227,0.039571,0.042122,"207,346","33,233,739",-0.0168518345625992
45,"Dec 31, 2018",0.040736,0.041012,0.039699,0.039934,"179,207","31,507,294",-0.051944352120032344
46,"Dec 30, 2018",0.040678,0.041562,0.040371,0.040687,"306,355","32,101,596",0.018856112585766693
47,"Dec 29, 2018",0.043156,0.043545,0.040776,0.040776,"399,498","32,171,829",0.0021874308747265037
48,"Dec 28, 2018",0.037371,0.047163,0.037281,0.043157,"777,148","34,050,521",0.058392191485187483
49,"Dec 27, 2018",0.042392,0.042623,0.036958,0.037302,"504,515","29,430,432",-0.13566744676414033
50,"Dec 26, 2018",0.041627,0.044107,0.040996,0.042381,"290,043","33,438,237",0.1361589190928103
51,"Dec 25, 2018",0.047290,0.047290,0.040419,0.041635,"548,817","32,849,155",-0.01760222741322759
52,"Dec 24, 2018",0.045713,0.049920,0.045713,0.047210,"717,323","37,248,325",0.13390176534165965
53,"Dec 23, 2018",0.044506,0.046909,0.044410,0.045683,"472,849","36,042,984",-0.03234484219445033
54,"Dec 22, 2018",0.042371,0.045222,0.042371,0.044451,"445,613","35,071,250",-0.026968456537442953
55,"Dec 21, 2018",0.043420,0.045386,0.042043,0.042448,"453,594","33,490,430",-0.04506085352410516
56,"Dec 20, 2018",0.040319,0.044794,0.039676,0.043272,"493,382","34,141,120",0.019411986430456274
57,"Dec 19, 2018",0.041230,0.043050,0.039761,0.040359,"472,943","31,842,579",-0.06731835829173616
58,"Dec 18, 2018",0.038032,0.041110,0.036967,0.041109,"485,915","32,434,601",0.018583215639634387
59,"Dec 17, 2018",0.033356,0.038344,0.032962,0.038034,"501,975","30,008,263",-0.07480113843683867
60,"Dec 16, 2018",0.032652,0.034332,0.032652,0.033317,"197,514","26,286,278",-0.12402061313561552
61,"Dec 15, 2018",0.033581,0.033980,0.032007,0.032600,"236,095","25,720,967",-0.021520545067082897
62,"Dec 14, 2018",0.035100,0.035290,0.033047,0.033554,"186,979","26,473,556",0.029263803680981804
63,"Dec 13, 2018",0.036512,0.037576,0.034975,0.035061,"296,624","27,662,223",0.04491267807116883
64,"Dec 12, 2018",0.036352,0.037473,0.036004,0.036466,"240,711","28,771,173",0.04007301560138066
65,"Dec 11, 2018",0.036675,0.036797,0.035489,0.036543,"297,327","28,831,660",0.002111555969944501
66,"Dec 10, 2018",0.037159,0.037514,0.035711,0.036698,"280,580","28,954,325",0.004241578414470704
67,"Dec 09, 2018",0.036237,0.038129,0.035003,0.037199,"366,536","29,349,640",0.013651970134612279
68,"Dec 08, 2018",0.035431,0.037580,0.034395,0.036168,"577,212","28,536,057",-0.02771579881179609
69,"Dec 07, 2018",0.038654,0.038958,0.032533,0.035505,"1,181,877","28,013,013",-0.01833112143331117
70,"Dec 06, 2018",0.045262,0.050459,0.038780,0.038780,"3,736,938","30,596,907",0.09224052950288697
71,"Dec 05, 2018",0.043562,0.051926,0.041529,0.045333,"3,684,956","35,766,849",0.16897885507993804
72,"Dec 04, 2018",0.042354,0.044984,0.042311,0.043626,"468,987","34,419,972",-0.0376546886374165
73,"Dec 03, 2018",0.045432,0.045531,0.041996,0.042738,"321,664","33,719,263",-0.020354834273139888
74,"Dec 02, 2018",0.046779,0.047961,0.045254,0.045472,"320,497","35,876,959",0.06397117319481516
75,"Dec 01, 2018",0.043917,0.049171,0.043627,0.046897,"332,625","37,001,174",0.03133796622097096
76,"Nov 30, 2018",0.048879,0.048879,0.042428,0.043789,"406,546","34,548,811",-0.06627289592084784
77,"Nov 29, 2018",0.050041,0.051866,0.046420,0.048789,"824,322","38,494,064",0.11418392747036932
78,"Nov 28, 2018",0.043834,0.053997,0.043834,0.049615,"684,513","39,145,308",0.016930045707024055
79,"Nov 27, 2018",0.042185,0.044189,0.040756,0.043805,"358,468","34,561,466",-0.11710168295878254
80,"Nov 26, 2018",0.042579,0.045126,0.040116,0.042259,"424,759","33,341,853",-0.035292774797397675
81,"Nov 25, 2018",0.041432,0.044401,0.037577,0.042695,"444,875","33,685,456",0.010317328853025387
82,"Nov 24, 2018",0.048175,0.049310,0.040839,0.041609,"765,220","32,828,856",-0.02543623375102466
83,"Nov 23, 2018",0.046795,0.048126,0.044246,0.046762,"613,561","36,894,414",0.12384339926458221
84,"Nov 22, 2018",0.047907,0.057131,0.047229,0.047229,"1,462,610","37,262,791",0.009986741371198926
85,"Nov 21, 2018",0.045141,0.050334,0.042452,0.047955,"576,236","37,836,067",0.01537191132566873
86,"Nov 20, 2018",0.051764,0.054906,0.041028,0.045071,"862,743","35,560,162",-0.060139714315504245
87,"Nov 19, 2018",0.069672,0.069729,0.050617,0.051971,"1,102,630","41,004,392",0.15309178851145977
88,"Nov 18, 2018",0.068741,0.071322,0.068741,0.069643,"553,080","54,947,247",0.3400357891901251
89,"Nov 17, 2018",0.071374,0.071374,0.067934,0.068699,"520,844","54,202,288",-0.01355484399006357
90,"Nov 16, 2018",0.074107,0.075469,0.069819,0.071301,"875,766","56,255,620",0.03787536936491076
91,"Nov 15, 2018",0.077873,0.080201,0.065851,0.074287,"1,268,830","58,611,133",0.04187879552881446
92,"Nov 14, 2018",0.093289,0.093289,0.073097,0.077726,"1,612,700","61,324,845",0.04629342953679649
93,"Nov 13, 2018",0.097650,0.097650,0.093215,0.093355,"956,556","73,655,489",0.20107814630882825
94,"Nov 12, 2018",0.099513,0.101349,0.096711,0.097907,"1,018,690","77,246,789",0.04876010926035046
95,"Nov 11, 2018",0.102984,0.103256,0.097500,0.099313,"1,666,630","78,356,338",0.014360566660197804
96,"Nov 10, 2018",0.103511,0.104465,0.102624,0.103121,"1,008,980","81,360,870",0.03834341929052587
97,"Nov 09, 2018",0.106995,0.108608,0.103026,0.103607,"1,309,790","81,744,316",0.004712910076511978
98,"Nov 08, 2018",0.112896,0.113423,0.106623,0.106988,"1,458,960","84,411,873",0.03263293020741864
99,"Nov 07, 2018",0.108128,0.114565,0.107380,0.113303,"1,530,940","89,394,310",0.05902531124985977
100,"Nov 06, 2018",0.107774,0.109153,0.105679,0.108079,"932,098","85,600,872",-0.04610645790490986
101,"Nov 05, 2018",0.110606,0.112327,0.104136,0.107557,"1,383,280","84,860,805",-0.004829800423764019
102,"Nov 04, 2018",0.116903,0.117426,0.108896,0.110525,"1,109,120","87,202,511",0.0275946707327277
103,"Nov 03, 2018",0.116909,0.116985,0.114741,0.116859,"623,975","92,199,939",0.05730830128930098
104,"Nov 02, 2018",0.118546,0.118879,0.114957,0.116832,"1,334,790","92,178,636",-0.00023104767283643746
105,"Nov 01, 2018",0.113553,0.120226,0.111309,0.118582,"2,131,470","93,559,359",0.014978772938920804
106,"Oct 31, 2018",0.108160,0.114162,0.105151,0.113455,"1,357,310","89,514,235",-0.04323590426877599
107,"Oct 30, 2018",0.104899,0.108307,0.104583,0.108060,"649,576","85,257,664",-0.0475518928209423
108,"Oct 29, 2018",0.114053,0.114566,0.104111,0.104644,"1,418,430","82,562,493",-0.03161206736997957
109,"Oct 28, 2018",0.113731,0.116281,0.112493,0.114439,"1,040,880","90,290,596",0.09360307327701545
110,"Oct 27, 2018",0.120112,0.122559,0.112716,0.113478,"1,585,680","89,532,382",-0.008397486870734827
111,"Oct 26, 2018",0.118500,0.123066,0.113732,0.120252,"2,151,640","94,876,963",0.059694390102046135
112,"Oct 25, 2018",0.120647,0.120922,0.114673,0.118823,"1,687,250","93,749,504",-0.011883378239031406
113,"Oct 24, 2018",0.113383,0.125884,0.113303,0.120703,"2,607,900","95,232,795",0.01582185267162073
114,"Oct 23, 2018",0.112644,0.114135,0.111400,0.113626,"934,676","89,649,152",-0.05863151702940261
115,"Oct 22, 2018",0.111079,0.112713,0.109330,0.112713,"835,134","88,928,809",-0.008035132804111722
116,"Oct 21, 2018",0.112481,0.114338,0.110588,0.111079,"795,913","87,639,608",-0.014496996797175199
117,"Oct 20, 2018",0.108648,0.115837,0.107582,0.112437,"1,275,540","88,711,049",0.01222553317908881
118,"Oct 19, 2018",0.106246,0.109448,0.105759,0.108728,"969,744","85,784,706",-0.03298736181150341
119,"Oct 18, 2018",0.112293,0.112480,0.104144,0.106409,"1,538,610","83,955,051",-0.021328452652490615
120,"Oct 17, 2018",0.113699,0.113995,0.110378,0.112436,"1,202,170","88,710,260",0.05663994586924037
121,"Oct 16, 2018",0.110432,0.117763,0.107909,0.112828,"1,844,620","89,019,542",0.003486427834501482
122,"Oct 15, 2018",0.105132,0.113067,0.103046,0.110321,"2,239,070","87,041,558",-0.02221966178608148
123,"Oct 14, 2018",0.105075,0.116599,0.103747,0.104037,"2,379,900","82,083,579",-0.056961050026740234
124,"Oct 13, 2018",0.097689,0.108029,0.097628,0.104888,"1,590,870","82,755,005",0.008179782192873963
125,"Oct 12, 2018",0.094394,0.102002,0.094287,0.097700,"1,213,190","77,084,100",-0.06853024178171019
126,"Oct 11, 2018",0.117881,0.117881,0.094898,0.095164,"2,119,150","75,083,078",-0.025957011258955998
127,"Oct 10, 2018",0.115845,0.119177,0.111181,0.118109,"2,352,120","93,186,169",0.2411100836450757
128,"Oct 09, 2018",0.110964,0.119348,0.108147,0.116325,"2,122,470","91,778,621",-0.015104691429103534
129,"Oct 08, 2018",0.111391,0.114402,0.108146,0.110855,"1,344,850","87,462,876",-0.04702342574683005
130,"Oct 07, 2018",0.109441,0.115957,0.107538,0.109413,"1,543,650","86,325,160",-0.013007983401740919
131,"Oct 06, 2018",0.116337,0.120377,0.108151,0.109248,"2,284,660","86,194,978",-0.0015080474897865015
132,"Oct 05, 2018",0.110036,0.121693,0.107322,0.117833,"3,831,820","92,968,410",0.07858267428236676
133,"Oct 04, 2018",0.102372,0.113480,0.101494,0.108362,"2,181,120","85,495,937",-0.08037646499707218
134,"Oct 03, 2018",0.107853,0.108282,0.100154,0.102533,"1,636,070","58,656,468",-0.05379191967663932
135,"Oct 02, 2018",0.098347,0.124477,0.097622,0.109073,"7,155,020","62,397,832",0.06378434260189403
136,"Oct 01, 2018",0.104757,0.106078,0.096603,0.098764,"2,477,660","56,500,378",-0.09451468282709741
137,"Sep 30, 2018",0.103882,0.106685,0.098673,0.104823,"2,838,610","59,966,517",0.061348264549835996
138,"Sep 29, 2018",0.097597,0.106135,0.093653,0.104086,"3,952,520","59,544,899",-0.007030899707125449
139,"Sep 28, 2018",0.099276,0.104216,0.093402,0.097910,"3,119,620","56,011,598",-0.059335549449493596
140,"Sep 27, 2018",0.093811,0.103360,0.091356,0.099744,"7,330,210","57,060,725",0.01873148810131764
141,"Sep 26, 2018",0.094398,0.100033,0.089496,0.094343,"5,009,660","53,971,181",-0.05414862046839908
142,"Sep 25, 2018",0.097621,0.098601,0.088114,0.093962,"14,804,100","53,752,992",-0.004038455423295728
143,"Sep 24, 2018",0.104946,0.109726,0.095178,0.097626,"5,536,650","55,849,243",0.03899448713309628
144,"Sep 23, 2018",0.103862,0.109707,0.099968,0.107180,"3,299,640","61,314,896",0.09786327412779383
145,"Sep 22, 2018",0.101957,0.110419,0.097496,0.104177,"3,768,180","59,596,958",-0.028018286993842234
146,"Sep 21, 2018",0.097539,0.107479,0.094157,0.106735,"2,437,650","61,060,323",0.02455436420707069
147,"Sep 20, 2018",0.092067,0.098593,0.089138,0.097318,"2,141,320","55,672,930",-0.0882278540310113
148,"Sep 19, 2018",0.087293,0.098789,0.084739,0.095635,"2,463,790","54,710,130",-0.017293820259355996
149,"Sep 18, 2018",0.083811,0.094083,0.081448,0.089567,"2,278,990","51,239,070",-0.06344957390076855
150,"Sep 17, 2018",0.102150,0.104489,0.080597,0.083920,"2,231,450","48,008,568",-0.0630477742918707
151,"Sep 16, 2018",0.101055,0.102941,0.086521,0.102941,"2,256,360","58,889,874",0.22665633937082919
152,"Sep 15, 2018",0.098032,0.105927,0.086487,0.100880,"2,085,220","57,710,829",-0.020021177179160965
153,"Sep 14, 2018",0.091468,0.103092,0.086305,0.098109,"2,513,220","56,125,555",-0.02746827914353689
154,"Sep 13, 2018",0.083511,0.101576,0.083511,0.101242,"2,539,140","57,917,920",0.03193386947170995
155,"Sep 12, 2018",0.091429,0.091462,0.078680,0.083732,"2,493,170","47,901,133",-0.1729519369431659
156,"Sep 11, 2018",0.095139,0.096251,0.086293,0.091563,"3,655,110","52,380,587",0.09352457841685391
157,"Sep 10, 2018",0.090598,0.096203,0.088832,0.094445,"3,886,200","54,029,762",0.03147559603770067
158,"Sep 09, 2018",0.088670,0.101895,0.085131,0.090625,"2,419,010","51,844,325",-0.04044682090105356
159,"Sep 08, 2018",0.097792,0.099969,0.087300,0.089109,"2,559,240","50,977,003",-0.01672827586206882
160,"Sep 07, 2018",0.101354,0.104803,0.096240,0.097978,"3,386,570","56,050,785",0.0995297893590994
161,"Sep 06, 2018",0.101101,0.101700,0.091525,0.101629,"4,667,440","58,139,313",0.037263467308987774
162,"Sep 05, 2018",0.124459,0.125310,0.103027,0.103027,"4,883,240","58,939,072",0.013755916126302559
163,"Sep 04, 2018",0.119319,0.128882,0.117933,0.124301,"6,562,440","71,109,376",0.20648956098886706
164,"Sep 03, 2018",0.121427,0.121551,0.116350,0.119144,"5,011,350","68,159,190",-0.041488000901038546
165,"Sep 02, 2018",0.128807,0.129757,0.120497,0.121640,"6,189,080","69,587,087",0.020949439333915354
166,"Sep 01, 2018",0.120647,0.130870,0.120647,0.128861,"1,870,080","73,718,033",0.05936369615258141
167,"Aug 31, 2018",0.120189,0.122023,0.116654,0.120507,"1,872,160","68,938,927",-0.06482954501361948
168,"Aug 30, 2018",0.128990,0.130234,0.113349,0.119329,"2,231,580","68,265,024",-0.009775365746388154
169,"Aug 29, 2018",0.133157,0.135390,0.126987,0.128638,"2,405,940","73,590,461",0.07801121269766798
170,"Aug 28, 2018",0.130221,0.135403,0.124470,0.132984,"2,257,360","76,076,695",0.03378472924019338
171,"Aug 27, 2018",0.114954,0.131072,0.114316,0.130097,"2,698,150","74,425,117",-0.021709378571858284
172,"Aug 26, 2018",0.109345,0.115452,0.104729,0.114820,"2,793,930","65,685,542",-0.11742776543655875
173,"Aug 25, 2018",0.106441,0.111958,0.104334,0.109359,"1,483,240","62,561,445",-0.04756140045288282
174,"Aug 24, 2018",0.105387,0.106608,0.100552,0.106608,"1,503,630","60,987,670",-0.025155679916604945
175,"Aug 23, 2018",0.101095,0.107195,0.097256,0.105573,"1,516,830","60,395,573",-0.009708464655560523
176,"Aug 22, 2018",0.104877,0.113341,0.100073,0.100773,"1,789,050","57,649,618",-0.045466170327640554
177,"Aug 21, 2018",0.101544,0.107294,0.101035,0.104509,"1,884,160","59,786,886",0.037073422444503956
178,"Aug 20, 2018",0.116672,0.118840,0.101288,0.101288,"1,755,740","57,944,236",-0.030820312126228266
179,"Aug 19, 2018",0.115029,0.120962,0.110751,0.116510,"1,562,840","66,652,347",0.1502843377300369
