,Date,Open*,High,Low,Close**,Volume,Market Cap,Close Percent Change
0,"Feb 11, 2019",4.62,5.27,3.81,3.99,"3,168,066","39,021,262",
1,"Feb 10, 2019",4.23,5.89,4.12,4.64,"2,789,711","45,384,282",0.162907268170426
2,"Feb 09, 2019",4.17,4.57,3.53,4.24,"2,676,171","41,428,301",-0.08620689655172398
3,"Feb 08, 2019",2.94,5.86,2.88,4.14,"2,575,410","40,488,442",-0.02358490566037752
4,"Feb 07, 2019",2.39,3.2,2.36,2.95,"1,952,982","28,847,416",-0.28743961352657
5,"Feb 06, 2019",2.26,2.46,2.06,2.35,"1,397,938","22,997,732",-0.2033898305084746
6,"Feb 05, 2019",2.35,2.43,2.19,2.29,"1,428,721","22,408,465",-0.025531914893617058
7,"Feb 04, 2019",2.13,2.36,2.04,2.18,"1,304,054","21,294,880",-0.048034934497816484
8,"Feb 03, 2019",2.27,2.27,2.03,2.15,"1,210,194","21,004,233",-0.013761467889908396
9,"Feb 02, 2019",2.29,2.34,2.05,2.23,"1,293,234","21,767,280",0.037209302325581506
10,"Feb 01, 2019",2.28,2.5,2.13,2.33,"1,313,075","22,801,484",0.04484304932735439
11,"Jan 31, 2019",2.16,2.47,1.96,2.29,"1,335,150","22,424,634",-0.01716738197424894
12,"Jan 30, 2019",2.08,2.25,2.02,2.13,"1,298,526","20,860,596",-0.06986899563318782
13,"Jan 29, 2019",1.86,2.14,1.8,2.06,"1,292,182","20,168,692",-0.032863849765258135
14,"Jan 28, 2019",1.95,1.99,1.74,1.86,"1,174,947","18,137,063",-0.09708737864077666
15,"Jan 27, 2019",1.73,2.09,1.7,1.96,"1,720,773","19,186,460",0.053763440860215006
16,"Jan 26, 2019",1.73,1.77,1.69,1.73,"1,532,178","16,873,447",-0.11734693877551017
17,"Jan 25, 2019",1.79,1.95,1.67,1.72,"1,688,933","16,822,915",-0.005780346820809301
18,"Jan 24, 2019",1.88,1.88,1.71,1.79,"1,356,283","17,477,750",0.04069767441860472
19,"Jan 23, 2019",1.87,2.0,1.76,1.89,"1,702,869","18,476,778",0.05586592178770933
20,"Jan 22, 2019",1.93,2.06,1.79,1.91,"1,737,174","18,648,655",0.010582010582010692
21,"Jan 21, 2019",1.91,2.03,1.69,1.94,"1,707,928","19,012,066",0.015706806282722585
22,"Jan 20, 2019",2.02,2.08,1.76,1.93,"1,480,675","18,874,435",-0.005154639175257714
23,"Jan 19, 2019",1.88,2.16,1.85,1.99,"1,541,980","19,481,000",0.031088082901554515
24,"Jan 18, 2019",1.96,2.21,1.7,1.89,"1,295,622","18,453,836",-0.05025125628140703
25,"Jan 17, 2019",1.95,2.15,1.9,1.97,"1,487,914","19,230,420",0.042328042328042326
26,"Jan 16, 2019",2.06,2.16,1.76,1.93,"1,542,216","18,908,971",-0.020304568527918843
27,"Jan 15, 2019",2.25,2.29,1.97,2.07,"1,651,476","20,267,761",0.07253886010362698
28,"Jan 14, 2019",1.83,2.31,1.8,2.25,"1,989,752","22,028,580",0.0869565217391306
29,"Jan 13, 2019",2.06,2.27,1.17,1.8,"1,635,208","17,578,078",-0.19999999999999996
30,"Jan 12, 2019",2.19,2.27,1.82,2.06,"1,841,171","20,092,546",0.14444444444444438
31,"Jan 11, 2019",2.16,2.33,2.1,2.2,"1,979,985","21,506,755",0.06796116504854366
32,"Jan 10, 2019",2.38,2.61,2.12,2.16,"2,133,653","21,120,040",-0.018181818181818188
33,"Jan 09, 2019",2.31,2.63,2.26,2.39,"2,473,815","23,375,531",0.1064814814814814
34,"Jan 08, 2019",2.55,2.58,2.13,2.34,"2,359,411","22,858,702",-0.02092050209205032
35,"Jan 07, 2019",2.29,2.56,2.23,2.56,"2,876,048","25,012,580",0.09401709401709413
36,"Jan 06, 2019",2.32,2.38,1.98,2.29,"2,681,940","22,435,553",-0.10546875
