,,Date,Open*,High,Low,Close**,Volume,Market Cap
3,,"Feb 11, 2019",1.02,1.02,1.01,1.01,"38,129,351","209,428,397"
4,,"Feb 10, 2019",1.01,1.02,1.01,1.02,"45,775,593","207,220,126"
5,,"Feb 09, 2019",1.01,1.02,1.01,1.01,"48,370,217","207,296,930"
6,,"Feb 08, 2019",1.01,1.02,1.00,1.01,"89,362,717","207,556,522"
7,,"Feb 07, 2019",1.01,1.01,1.01,1.01,"30,327,998","207,545,490"
8,,"Feb 06, 2019",1.01,1.02,1.01,1.01,"56,699,075","207,687,737"
9,,"Feb 05, 2019",1.01,1.02,1.01,1.01,"36,259,478","208,020,488"
10,,"Feb 04, 2019",1.01,1.02,1.01,1.01,"34,509,169","208,569,743"
11,,"Feb 03, 2019",1.01,1.02,1.01,1.01,"34,914,547","209,608,306"
12,,"Feb 02, 2019",1.02,1.02,1.01,1.01,"35,543,272","209,207,500"
13,,"Feb 01, 2019",1.01,1.02,1.01,1.02,"51,872,546","210,253,797"
14,,"Jan 31, 2019",1.01,1.02,1.01,1.01,"47,708,948","210,027,598"
15,,"Jan 30, 2019",1.01,1.02,1.01,1.01,"51,707,770","210,144,442"
16,,"Jan 29, 2019",1.01,1.01,1.01,1.01,"56,293,508","209,822,228"
17,,"Jan 28, 2019",1.01,1.02,1.01,1.01,"83,036,170","211,497,096"
18,,"Jan 27, 2019",1.01,1.02,1.01,1.01,"53,463,015","211,690,805"
19,,"Jan 26, 2019",1.01,1.01,1.01,1.01,"36,389,003","211,524,979"
20,,"Jan 25, 2019",1.01,1.01,1.01,1.01,"37,679,544","211,878,886"
21,,"Jan 24, 2019",1.01,1.01,1.01,1.01,"38,756,232","209,405,534"
22,,"Jan 23, 2019",1.01,1.01,1.01,1.01,"45,721,202","209,523,952"
23,,"Jan 22, 2019",1.01,1.02,1.01,1.01,"46,751,835","209,364,314"
24,,"Jan 21, 2019",1.01,1.02,1.01,1.01,"41,830,787","210,393,743"
25,,"Jan 20, 2019",1.01,1.03,1.01,1.02,"51,671,705","211,630,538"
26,,"Jan 19, 2019",1.01,1.02,1.00,1.01,"49,687,423","210,386,637"
27,,"Jan 18, 2019",1.01,1.02,1.01,1.01,"42,777,356","210,812,867"
28,,"Jan 17, 2019",1.01,1.02,1.01,1.01,"65,094,518","210,468,720"
29,,"Jan 16, 2019",1.02,1.02,1.01,1.01,"61,075,577","210,595,914"
30,,"Jan 15, 2019",1.01,1.02,1.01,1.01,"70,192,323","209,286,021"
31,,"Jan 14, 2019",1.01,1.02,1.00,1.01,"71,509,726","207,871,460"
32,,"Jan 13, 2019",1.01,1.03,1.01,1.01,"51,483,987","205,615,441"
33,,"Jan 12, 2019",1.02,1.02,1.01,1.01,"43,101,596","205,269,037"
34,,"Jan 11, 2019",1.02,1.02,1.01,1.01,"65,641,070","205,779,209"
35,,"Jan 10, 2019",1.01,1.03,1.01,1.01,"105,112,120","204,736,381"
36,,"Jan 09, 2019",1.01,1.01,1.00,1.01,"54,784,088","203,709,737"
37,,"Jan 08, 2019",1.01,1.01,1.00,1.01,"59,761,614","204,411,439"
38,,"Jan 07, 2019",1.01,1.01,1.00,1.01,"49,063,121","206,406,365"
39,,"Jan 06, 2019",1.01,1.02,0.996007,1.01,"61,402,785","208,246,196"
40,,"Jan 05, 2019",1.01,1.02,0.998130,1.01,"51,803,881","209,430,911"
41,,"Jan 04, 2019",1.02,1.02,1.00,1.01,"52,052,971","209,000,233"
42,,"Jan 03, 2019",1.02,1.02,1.01,1.01,"44,694,265","208,015,368"
43,,"Jan 02, 2019",1.01,1.02,1.01,1.02,"57,073,643","210,227,305"
44,,"Jan 01, 2019",1.02,1.02,1.01,1.01,"38,102,381","209,271,175"
45,,"Dec 31, 2018",1.01,1.02,1.00,1.01,"49,184,194","207,986,470"
46,,"Dec 30, 2018",1.02,1.03,1.01,1.01,"47,063,763","207,286,489"
47,,"Dec 29, 2018",1.01,1.04,1.01,1.02,"55,522,929","210,285,310"
48,,"Dec 28, 2018",1.02,1.02,0.989826,1.01,"68,367,500","208,457,470"
