,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1689,2019-02-11,0.3086895,0.3086895,0.30149190000000003,0.30429998,57784664.3787922,17583871.92922964,-0.014930680152697053
1688,2019-02-10,0.31056471,0.31060619,0.30125502,0.30891225,65729745.41480248,20304723.73387023,-0.005580919551049003
1687,2019-02-09,0.3120226,0.31483767,0.30796067,0.31064594,70375047.44288449,21861722.80154023,-0.004431292090087857
1686,2019-02-08,0.29169738,0.31672202,0.28961034,0.31202863,117222881.89990637,36576895.6051192,0.06989408780370576
1685,2019-02-07,0.28958735,0.29250385,0.28882447,0.29164441,62967811.10497787,18364209.92299723,0.007248111913229716
1684,2019-02-06,0.29168313,0.29666747,0.28911238,0.28954575,79256159.68736245,22948283.84747714,-0.007037840489767411
1683,2019-02-05,0.2993087,0.29974898,0.29159797,0.29159797,51552416.10739476,15032579.62924621,-0.02517366137292609
1682,2019-02-04,0.30224222,0.30599745,0.29870549999999996,0.29912812,55197843.5015698,16511227.11232934,-0.009142361329988248
1681,2019-02-03,0.31086232,0.31161318,0.29846553,0.30188809,62973430.58022919,19010928.55507026,-0.030917052183114687
1680,2019-02-02,0.30650063,0.31203819,0.30565226,0.31151935,63933465.88348579,19916511.651515197,0.014196072456308384
1679,2019-02-01,0.31063405,0.3129868,0.29940915,0.3071589,95429298.83692165,29311958.50610482,-0.009489598313636828
1678,2019-01-31,0.32130848,0.3352116,0.30531096,0.31010164,130353534.38668932,40422844.7244998,-0.03485358392356541
1677,2019-01-30,0.28835583,0.32588169,0.28579373,0.3213001,142241596.34879902,45702239.00028053,0.11455456214652647
1676,2019-01-29,0.29391426,0.29581737,0.28576259,0.28827669,80377904.27807419,23171076.20714526,-0.020240584202703586
1675,2019-01-28,0.31215612,0.31232301,0.28689192,0.29423212,104843993.96485002,30848471.05020866,-0.05773295185611471
1674,2019-01-27,0.31680703,0.31684898,0.31069752,0.3122598,53671450.79021465,16759436.48773859,-0.014345409056544687
1673,2019-01-26,0.31712116,0.31878868,0.31323036,0.31680449,54431160.92845583,17244035.97716223,-0.0012842835520536775
1672,2019-01-25,0.3161615,0.32035439,0.31393956,0.31721188,56749062.45636784,18001476.81797106,0.003960145287721373
1671,2019-01-24,0.31657674,0.31866082,0.31386293,0.31596063,57349946.00749809,18120325.3088588,-0.0025159618911091424
1670,2019-01-23,0.31973862,0.32088959,0.31491605,0.31675758,51498367.26450536,16312498.27613796,-0.0089827657232191
1669,2019-01-22,0.32055504,0.3217078,0.31295311,0.31962873,65932377.13706355,21073882.24769362,-0.002658599536521145
1668,2019-01-21,0.32193978,0.32481745,0.31665377,0.32048076,46482559.12722733,14896766.0792434,-0.004025625146627632
1667,2019-01-20,0.33269216,0.33432834,0.31976241,0.32177611,63595495.92122416,20463511.25465956,-0.03379746927424998
1666,2019-01-19,0.32333786,0.33443809999999996,0.32333786,0.33303174,68925478.77003886,22954371.95901783,0.030153683971857026
1665,2019-01-18,0.32856549,0.3295867,0.32255743,0.32328355,55283375.0625902,17872205.85193884,-0.01719697916032381
1664,2019-01-17,0.32727816,0.3292758,0.32427207,0.32894033,59477334.32719637,19564493.92179776,0.005291911949670602
1663,2019-01-16,0.32674285,0.33337375,0.32550255,0.32720877,73195344.95428358,23950158.48102893,0.0008079043842987853
1662,2019-01-15,0.3351509,0.33710959999999995,0.32372091,0.32694463,77403039.42786473,25306508.26818399,-0.025298299543168982
1661,2019-01-14,0.31782533,0.33766767,0.31619725,0.33543045,97084153.46270555,32564981.40180929,0.05668695957802127
1660,2019-01-13,0.33401995,0.34206922,0.31472504,0.31743597,74772701.67888644,23735545.18396969,-0.04944704838691572
1659,2019-01-12,0.33601708,0.33845342,0.33393468,0.33394875,55617725.88258127,18573470.31081408,-0.004427014672227836
1658,2019-01-11,0.33248177,0.33846027,0.32955887,0.33543372,77088298.83429801,25858014.54004968,0.006882644796196269
1657,2019-01-10,0.36957378,0.38241883,0.32880024,0.33314083,197020805.38704216,65635674.31455582,-0.10380661188065833
1656,2019-01-09,0.36513758,0.37284069,0.3635909,0.37172873,93058027.68595666,34592342.21554728,0.0179405201736822
1655,2019-01-08,0.36690627,0.37004242,0.36048559,0.36517726,84015158.28904195,30680425.55189536,-0.0035334742189706563
1654,2019-01-07,0.36912501,0.37715244,0.36417932,0.36647218,69320444.56269164,25404014.1032283,-0.007141941229015347
1653,2019-01-06,0.35533939,0.37159196,0.35383673,0.36910833,90945138.63884632,33568607.82700373,0.03790550054161912
1652,2019-01-05,0.36168545,0.36566812,0.35378784,0.35562807,85028672.40528245,30238582.94332928,-0.01723532589908605
1651,2019-01-04,0.35925201,0.36318482,0.35296028,0.36186493,67990597.55954918,24603412.60159832,0.007485011059604529
1650,2019-01-03,0.37600046,0.37615659,0.35643446,0.35917649,78526998.7823568,28205051.7210688,-0.046362127223194334
1649,2019-01-02,0.36607772,0.38079097,0.36109374,0.37663824,87285381.57183689,32875012.32493451,0.03009812890158603
1648,2019-01-01,0.35701799,0.36563336,0.35080516,0.36563336,76496282.11856623,27969592.56795496,0.02558543285447601
1647,2018-12-31,0.37141637,0.37413195,0.35504976,0.35651185,104048542.51771106,37094538.88007676,-0.03916958443511853
1646,2018-12-30,0.36793524,0.37123117,0.36298719,0.37104555,86349455.98280244,32039581.27743918,0.010599808870283002
1645,2018-12-29,0.37981924,0.38799313,0.36715379,0.36715379,105980086.61823626,38910990.9728435,-0.028410399762322288
1644,2018-12-28,0.33975882,0.38034063,0.33854304,0.37788979,126553785.45058732,47823383.22873621,0.11335471028204512
1643,2018-12-27,0.38130495,0.38156627,0.33727917,0.33941545,94373730.79075617,32031902.12451338,-0.10733913459337607
1642,2018-12-26,0.38467019,0.3939118,0.36532329999999996,0.38022889,106285095.4454285,40412663.46354889,-0.006039017454557928
1641,2018-12-25,0.4110804,0.41109489,0.37211497,0.38253905,120589064.94070294,46130026.08366587,-0.06166104656965665
1640,2018-12-24,0.37551333,0.45078705,0.37551333,0.40767683,246947033.99780017,100674583.22081932,0.08636289786038831
1639,2018-12-23,0.36394904,0.38342098,0.3623855,0.37526763,93616999.38706475,35131429.27555856,0.030948258334237973
1638,2018-12-22,0.36020226,0.3640857,0.35096323,0.36400239,84350253.21415609,30703694.01413116,0.01003378735071392
1637,2018-12-21,0.37974837,0.3861922,0.3563481,0.36038635,125026504.10505894,45057845.23491962,-0.05256292880610902
1636,2018-12-20,0.35322065,0.39130133,0.34935099,0.38038025,186648228.85315657,70997300.63787463,0.07113101623425
1635,2018-12-19,0.35203663,0.39313964,0.35017812,0.35512019,202028116.44596928,71744262.93533209,0.015223687289773304
1634,2018-12-18,0.33016955,0.34995568,0.32776985,0.34979502,134000635.08318692,46872754.47206823,0.060433601041555825
1633,2018-12-17,0.28872729,0.33558508,0.28668572,0.32986037,143794602.68576118,47432140.875386104,0.14328143030009866
1632,2018-12-16,0.28544023,0.29447282,0.28443348,0.28852071,64119850.2961795,18499904.71213872,0.010680674174054605
1631,2018-12-15,0.28914339,0.29092818,0.28222864,0.28547168,68571341.18613702,19575175.82458852,-0.011908428779583868
1630,2018-12-14,0.30139459,0.30148006,0.28443375,0.28891217,86741349.43217668,25060631.79312956,-0.04045798748044704
1629,2018-12-13,0.30711402,0.3082049000000001,0.29989564,0.30109382,75621958.11815365,22769304.05407951,-0.018420334992533597
1628,2018-12-12,0.29601433,0.31041341,0.29516681,0.30674415,74241285.26586846,22773080.14160588,0.0365437030365785
1627,2018-12-11,0.30164158,0.30803673,0.29256142,0.29592978,80479343.7187143,23816234.11732645,-0.01897591657513253
1626,2018-12-10,0.31213102,0.31533756,0.29868735,0.30165394,93172747.01373114,28105926.10624329,-0.035212940419220407
1625,2018-12-09,0.30789854,0.32045942,0.30303066,0.31266375,77325490.36060569,24176878.1406097,0.009062574490328991
1624,2018-12-08,0.30553011,0.32266239,0.29511336,0.30985566,113254912.74717005,35092675.43716876,0.015270057721398
1623,2018-12-07,0.31254753,0.31389638,0.29402026,0.30519531,184257621.91862008,56234562.46352287,-0.020513842739861232
1622,2018-12-06,0.33663937,0.34393274,0.31119275,0.31158716,141577245.68895498,44113652.42129218,-0.07827103024910209
1621,2018-12-05,0.35552112,0.35599875,0.33749262,0.3380464,107957114.59041712,36494514.26108912,-0.047165728267825724
1620,2018-12-04,0.35235363,0.36412221,0.34848850000000003,0.35477985,98316234.7813322,34880619.01868676,0.005720259633436697
1619,2018-12-03,0.37029394,0.37069801,0.35074881,0.35276196,112646117.78381476,39737265.14915798,-0.045281642786300765
1618,2018-12-02,0.37480168,0.38065749,0.3682922,0.36949322,70522901.43728405,26057733.63845866,-0.014170590624304813
1617,2018-12-01,0.36553055,0.37913526,0.36051473,0.37480442,75670674.5955856,28361703.17868863,0.02670604043377112
1616,2018-11-30,0.38191509,0.38286557,0.35978696,0.36505524,103588307.72660026,37815454.65962307,-0.04252228506900957
1615,2018-11-29,0.39114729,0.39277256,0.37402951,0.38126761,134497046.262817,51279367.50385572,-0.0241048159002778
1614,2018-11-28,0.36306371,0.40069958,0.36306371,0.390685,156051400.5680671,60966941.64898314,0.07700783111515985
1613,2018-11-27,0.35910465,0.37023453,0.34578265,0.36275038,133340229.011381,48369218.35737985,0.009444803713350323
1612,2018-11-26,0.37536349,0.38812113,0.34406061,0.35935633,242888317.351611,87283455.07731697,-0.04570124864744773
1611,2018-11-25,0.37005546,0.38481842,0.32128353,0.37656586,481556069.28732413,181337576.84900638,0.015103472709935506
1610,2018-11-24,0.40506431,0.41497517,0.36066008,0.37096303,386798545.74275064,143487962.19406337,-0.08438935851725793
1609,2018-11-23,0.41931007,0.42252149,0.39369133,0.40515369,370498172.31794006,150108700.22458658,-0.0384612700995719
1608,2018-11-22,0.44356815,0.44585314,0.42135672,0.42135972,301909835.2843055,127212642.48556209,-0.0524800815151909
1607,2018-11-21,0.43304155,0.45665902,0.41338303,0.44469748,377881619.7227824,168043005.14334187,0.03164074238003023
1606,2018-11-20,0.4722281,0.495651,0.41463941,0.43105847,566594926.1346657,244235542.28033042,-0.08961135923052478
1605,2018-11-19,0.50851175,0.50851175,0.46647039,0.47348841,437824369.919091,207304764.3734738,-0.0683212518763161
1604,2018-11-18,0.48860979,0.51847266,0.48736715,0.50820995,337923004.46225137,171735832.27385017,0.03995784835828831
1603,2018-11-17,0.46798721,0.49369408,0.46264307,0.48868322,308176084.00460887,150600481.28023034,0.043986273427022216
1602,2018-11-16,0.4781305,0.48168540000000004,0.46026887,0.46809353,326625855.2528424,152891448.55292132,-0.03027925981669899
1601,2018-11-15,0.46653076,0.48270962,0.4246427,0.48270962,436452498.83014137,210679819.80277964,0.04190981998026344
1600,2018-11-14,0.50512429,0.50587207,0.41363262,0.46329309,489890367.0931548,226962822.4954268,-0.0834560982375625
1599,2018-11-13,0.51486582,0.52130126,0.50095018,0.50547834,339072486.3347025,171393796.60714325,-0.01892833270060712
1598,2018-11-12,0.50349236,0.52474609,0.49798462,0.5152308,332028829.6147716,171071479.09004012,0.02475665672123406
1597,2018-11-11,0.50301301,0.50527105,0.49351873,0.50278356,287490905.32258946,144545700.9361971,9.661153682594126e-05
1596,2018-11-10,0.49749477,0.50755071,0.49732448,0.50273499,294699638.3098962,148155818.2953634,0.011813076650042165
1595,2018-11-09,0.49080727,0.51298397,0.49013307,0.49686548,331535095.51998067,164728343.7193377,0.013377243823369023
1594,2018-11-08,0.53513651,0.53870911,0.48847638,0.49030653,380137905.2697703,186384096.68461555,-0.08204823670236427
1593,2018-11-07,0.54982635,0.54982635,0.52453282,0.53413104,341924995.4532806,182632752.74429896,-0.028381066046511024
1592,2018-11-06,0.49674044,0.56091562,0.49674044,0.54973305,478492238.55096775,263042995.89873168,0.10737651122273828
1591,2018-11-05,0.46633436,0.49642831,0.46063464,0.49642831,358931075.35045063,178183548.28367242,0.06346841282620573
1590,2018-11-04,0.45347144,0.47029852,0.44773674,0.46680118,319557100.6263486,149169631.57152188,0.02896137611024452
1589,2018-11-03,0.45664973,0.45792735,0.45126345,0.45366249,277103348.61269724,125711395.87866648,-0.006592440263831656
1588,2018-11-02,0.45688004,0.46168771,0.45323604,0.45667308,326474096.37889427,149091932.62216002,0.003057584082903464
1587,2018-11-01,0.45085803,0.45707624,0.44723656,0.45528102,302056890.2884784,137520769.53682578,0.009385749974060387
1586,2018-10-31,0.44342243,0.45208742,0.43553556,0.4510476,309711702.10089755,139694720.89025605,0.01617372835505204
1585,2018-10-30,0.44044685,0.44809749,0.43961832,0.44386859,296037178.2994964,131401604.67948943,0.008827513107162677
1584,2018-10-29,0.4599048,0.4599204000000001,0.43088105,0.43998462,334025751.99656487,146966194.4815939,-0.04251305758616975
1583,2018-10-28,0.4546884,0.46057221,0.45306673,0.45952023,284901858.8184678,130918166.9639267,0.011821785842979438
1582,2018-10-27,0.45785469,0.45939391,0.45254964,0.45415135,296275720.86964685,134554017.25408527,-0.00865193369707462
1581,2018-10-26,0.45526913,0.45904041,0.4501156,0.45811493,303474563.19924664,139026229.41554248,0.0043583698714058094
