,,Date,Open*,High,Low,Close**,Volume,Market Cap
0,,Date,Open*,High,Low,Close**,Volume,Market Cap
1,,"Feb 13, 2019",0.006051,0.006126,0.005912,0.005982,"720,094","90,756,737"
2,,"Feb 12, 2019",0.006003,0.006131,0.005902,0.006048,"585,297","91,764,743"
3,,"Feb 11, 2019",0.006169,0.006169,0.005940,0.005994,"638,807","90,947,687"
4,,"Feb 10, 2019",0.006125,0.006189,0.005973,0.006171,"630,489","93,633,470"
5,,"Feb 09, 2019",0.006050,0.006379,0.006012,0.006130,"1,165,363","93,003,862"
6,,"Feb 08, 2019",0.005624,0.006179,0.005522,0.006052,"1,101,647","91,815,822"
7,,"Feb 07, 2019",0.005606,0.005767,0.005544,0.005644,"583,188","85,625,248"
8,,"Feb 06, 2019",0.005764,0.005805,0.005470,0.005606,"892,505","85,049,985"
9,,"Feb 05, 2019",0.005861,0.005908,0.005737,0.005745,"1,023,719","87,166,520"
10,,"Feb 04, 2019",0.005818,0.005929,0.005768,0.005880,"765,823","89,214,187"
11,,"Feb 03, 2019",0.006076,0.006082,0.005714,0.005829,"654,249","88,441,513"
12,,"Feb 02, 2019",0.005957,0.006084,0.005864,0.006042,"861,237","91,667,092"
13,,"Feb 01, 2019",0.005936,0.006028,0.005787,0.005964,"665,380","90,488,088"
14,,"Jan 31, 2019",0.006194,0.006234,0.005889,0.005931,"1,123,903","89,987,540"
15,,"Jan 30, 2019",0.006054,0.006253,0.005969,0.006195,"1,039,160","93,988,748"
16,,"Jan 29, 2019",0.006092,0.006164,0.005875,0.006062,"929,371","91,975,250"
17,,"Jan 28, 2019",0.006416,0.006456,0.005895,0.006088,"1,599,027","92,366,300"
18,,"Jan 27, 2019",0.006654,0.006667,0.006394,0.006444,"1,648,039","97,773,106"
19,,"Jan 26, 2019",0.006678,0.006861,0.006601,0.006627,"1,106,371","100,546,930"
20,,"Jan 25, 2019",0.006752,0.006814,0.006596,0.006657,"989,411","100,995,442"
21,,"Jan 24, 2019",0.006739,0.006911,0.006703,0.006735,"1,752,166","102,181,085"
22,,"Jan 23, 2019",0.006733,0.007155,0.006625,0.006733,"3,316,743","102,146,763"
23,,"Jan 22, 2019",0.006630,0.006768,0.006446,0.006708,"1,037,158","101,772,946"
24,,"Jan 21, 2019",0.006584,0.006645,0.006481,0.006626,"852,963","100,535,226"
25,,"Jan 20, 2019",0.006953,0.007009,0.006522,0.006608,"1,343,695","100,249,813"
26,,"Jan 19, 2019",0.006719,0.007053,0.006662,0.006942,"1,333,383","105,322,682"
27,,"Jan 18, 2019",0.006830,0.006841,0.006616,0.006685,"1,198,018","101,418,509"
28,,"Jan 17, 2019",0.006861,0.006915,0.006658,0.006832,"1,570,729","103,654,995"
29,,"Jan 16, 2019",0.006829,0.007033,0.006771,0.006900,"1,726,461","104,680,050"
30,,"Jan 15, 2019",0.006982,0.007252,0.006713,0.006817,"3,538,645","103,428,113"
31,,"Jan 14, 2019",0.006457,0.007098,0.006457,0.006959,"2,370,739","105,575,519"
32,,"Jan 13, 2019",0.006865,0.006978,0.006384,0.006407,"2,233,111","97,214,611"
33,,"Jan 12, 2019",0.007143,0.007433,0.006844,0.006876,"4,941,191","104,330,547"
34,,"Jan 11, 2019",0.007500,0.008342,0.007178,0.007178,"13,998,095","108,901,482"
35,,"Jan 10, 2019",0.007225,0.008259,0.006423,0.007598,"15,502,014","115,273,795"
36,,"Jan 09, 2019",0.007174,0.007338,0.007166,0.007247,"1,110,492","109,956,102"
37,,"Jan 08, 2019",0.007248,0.007353,0.007082,0.007174,"1,321,298","108,841,307"
38,,"Jan 07, 2019",0.007393,0.007441,0.007153,0.007203,"1,100,628","109,287,791"
39,,"Jan 06, 2019",0.006986,0.007485,0.006936,0.007415,"987,879","112,500,384"
40,,"Jan 05, 2019",0.006891,0.007215,0.006891,0.006987,"1,095,757","106,003,150"
41,,"Jan 04, 2019",0.006981,0.007062,0.006734,0.006908,"886,854","104,810,663"
42,,"Jan 03, 2019",0.007174,0.007229,0.006938,0.006981,"789,514","105,921,776"
43,,"Jan 02, 2019",0.007120,0.007234,0.006965,0.007183,"1,124,705","108,987,948"
44,,"Jan 01, 2019",0.006851,0.007102,0.006732,0.007053,"996,430","107,007,719"
45,,"Dec 31, 2018",0.007280,0.007322,0.006818,0.006864,"858,561","104,143,592"
46,,"Dec 30, 2018",0.007209,0.007446,0.007090,0.007270,"875,154","110,307,808"
47,,"Dec 29, 2018",0.007542,0.007598,0.007231,0.007231,"1,061,793","109,709,876"
48,,"Dec 28, 2018",0.006704,0.007645,0.006690,0.007509,"1,548,838","113,929,108"
49,,"Dec 27, 2018",0.007533,0.007533,0.006699,0.006700,"1,375,075","101,654,574"
50,,"Dec 26, 2018",0.007475,0.007776,0.007288,0.007517,"1,386,916","114,054,160"
51,,"Dec 25, 2018",0.008407,0.008407,0.007183,0.007478,"1,935,752","113,460,365"
52,,"Dec 24, 2018",0.008163,0.009019,0.008163,0.008388,"3,304,692","127,261,773"
53,,"Dec 23, 2018",0.008033,0.008475,0.008024,0.008133,"1,967,809","123,390,489"
54,,"Dec 22, 2018",0.007690,0.008111,0.007446,0.008021,"2,500,876","121,695,936"
55,,"Dec 21, 2018",0.008302,0.008475,0.007476,0.007662,"3,419,193","116,241,670"
56,,"Dec 20, 2018",0.006908,0.008692,0.006897,0.008293,"4,337,233","125,827,798"
57,,"Dec 19, 2018",0.006627,0.007855,0.006584,0.006965,"4,537,152","105,669,412"
58,,"Dec 18, 2018",0.006292,0.006607,0.006101,0.006607,"1,399,821","100,247,535"
